# CSV-values per configuration in order:
### shorthand
### name
### hullType-shorthand
### x times weapon shorthand (separator ",")
### x times component shorthand (separator ",")
### x times ships in bay (separator ",", format "hullType-shorthand: num")
### description

sfighter; Standard Fighter; fighter; vulcan; tcomp;; Stock close combat fighter. Cheap and effective in taking out other Fighters and poorly armored Frigates.
interceptor; Interceptor; fighter; predator; larmor;; Fast Interceptor, specifically designed to hunt down and obliterate other Fighters. Low Armor penetration capabilities lower its effectiveness in all other fields.
gboat; Heavy Fighter; hfighter; vulcan, vulcan; tcomp;; Modified fighter with a strong weapon layout. Mainly useful as anti-Frigate solution.
hunter; Hunter; hfighter; jaeger, jaeger; hardsys;; Missile Loadout for the Heavy fighter. Decent allround stats make this type of fighter a viable solution for most fights.
pbomb; Bomber; bomber; ncrack; aburn, cloak;; The stock fleet bomber. The 'Nutracker' plasma bomb is a decent option against all heavily armored targets.
lbomb; Lancer; bomber; rapier; tcomp, lshield;; A less-specialized, more-allrounder variant of the standard bomber. The particle lance has extreme armor piercing capabilities while still providing reasonable tracking, though it lacks in damage.
assfrig; Assault Frigate; frigate; ripper, ripper, ripper; aburn, tcomp;; Fast and precise loadout for the frigate hull. Ideal for surgical strikes against poorly defended fleets or as anti fighter screen.
prcfrig; Piercer Frigate; frigate; sadist, sadist, sadist; hshield, cloak;; Making use of the incredible armor penetration capabilities of the 'Sadist', this Frigate is an ideal support ship to finish off damaged capital ships, thereby freeing the resources of its larger fleet companions.
defender; Defender; destroyer; ripper, ripper, ripper, ripper, ripper; lqarmor, fshield;; Stock escort ship. Suited ideally for defense against swarms of smaller ships.
cdest; Combat Destroyer; destroyer; dagger, dagger, spike, spike, spike; lqarmor, tcomp;; Allround destroyer for limited combat operations in unknown territory. Fitted with reasonable defenses against fighters as well as highly armor piercing ordnance for anti-capital warfare.
fcrui; Fleet Cruiser; cruiser; blaze, greyhound, spike, spike, spike; lshield, tcomp, aburn;; Standard Fleet Cruiser, fitted for a multitude of roles. Meant as mainstay of a small fleet, not as suitable (though still viable) for larger fleet operations.
brbship; Brawler Battleship; bship; stampede, stampede, stampede, blaze, blaze, greyhound, greyhound; tcomp, tcomp, cloak, rbulk, harmor, aburn;; Battleship designed for brutal front line engagement. With a weapon loadout suitable to crush everything up to its own weight class, this ship dominates every mid-sized engagement.
scbship; Screen Battleship; bship; hornet, hornet, hornet, blaze, blaze, blaze, blaze; lshield, lshield, scap, tcomp, rbulk, harmor;; Specialized Battleship to keep the small fry at bay. Any fighter will run in fear (if it is still able to) when this monstrosity unleashes volley after volley of highly accurate and deadly ordnance.
