# CSV-values per hull in order:
### 1. shorthand
### 2. name
### 3. baseStartInitiative
### 4. baseEvasion
### 5. baseHullStrength
### 6. baseGlanceThreshold
### 7. baseHitThreshold
### 8. baseCritThreshold
### 9. baseContainment: lowers chance of instant explosions, subtracts from incoming damage BEFORE application of all factors, esp. crit-multiplier.
### 10. baseEPM: "Electronic Protection Measures", lowers chance of being affected by effects other than damage that negatively influence the combat capabilites of the ship. For more information, see "standardComponentBlueprints.csv".
### 11. available weapon slots (XXS to XXL and then Drone Weapons, 8 values overall)
### 12. available component slots (A, D, E, P, W), i.e. allround, defense, electronics, propulsion, e-War
### 13. Size category of the hull. Used for Drone/Fighter bay logic, see below.
### 14. Drone/Fighter bays, format "X: num, X: num, ...", where X are hull sizes and num is the number of hulls of that size that can be carried.
### 15. value
### 16. description

# 1;         2;                    3;   4;     5;  6;   7;   8;    9;   10;               11;           12;   13;       14;              15;  16

fighter;     Fighter;            100; 120;   100;  0;  20;  60;    0;   10;  1 0 0 0 0 0 0 0;    1 0 0 0 0;  XXS;                ;      100;  All-time useful basic fighter hull. Quite hard to hit and therefore pretty pesky, especially against ships with mainly big weapons.
frigate;     Frigate;             75; 100;   350; 10;  40;  80;   20;   10;  0 0 2 0 0 0 0 0;    1 0 1 0 0;    S;                ;      500;  Frigates are the ship of choice when the mission is about harrassing enemy ships or taking apart small fleets fast. Considerable firepower, solid armor (versus fighters at least) and high speed makes Frigates the ideal raiding and escort ships.
destroyer;   Destroyer;           70;  80;   500; 15;  55; 100;   30;   10;  0 0 4 0 0 0 0 0;    0 1 1 0 0;    S;                ;      800;  Destroyers are ships dedicated to spread out firepower with average stats in every respect, which is the reason why they are mainly used for escort duty.
lcruiser;    Light Cruiser;       60;  65;   900; 25;  65; 110;   50;   10;  0 0 2 2 0 0 0 0;    1 0 1 1 0;    M;                ;     1200;  As the smallest fully flegded fleet ship, light cruisers are able to hold their own in small fleet actions. In larger engagements, they fill a valuable niche as versatile support vessels, capable of filling many roles depending on loadout.
bcruiser;    Battle Cruiser;      50;  50;  1400; 35;  80; 125;   70;   20;  0 0 2 4 0 0 0 0;    2 0 0 1 0;    M;                ;     2000;  Built for extensive incursions into enemy territory, the Battlecruiser unifies firepower and versatility like no other ship. Though probably not the best choice for direct combat in large engagements, it IS the best choice for almost all other scenarios.
hcruiser;    Heavy Cruiser;       45;  40;  1600; 40;  90; 130;   80;   25;  0 0 0 0 2 0 0 0;    1 1 1 0 0;    M; XXS: 5         ;     2200;  The 'little brother' of the Battleship. While commanding not as much firepower and defense as its 'big brother', the heavy cruiser sports a small fighter bay as force multiplicator.
bship;       Battleship;          30;  30;  2800; 50; 105; 150;  100;   30;  0 0 0 4 3 0 0 0;    1 2 3 0 0;    L;                ;     3500;  Battleships are the mainstay of any Fleet, whatever form they take. Their extreme durability, heavy weapon mounts and flexible layout options make them the perfect warmachines.
dnought;     Dreadnought;         15;  10;  4000; 60; 120; 160;  140;   20;  0 0 0 0 0 4 0 0;    0 2 1 0 0;    L;                ;     6000;  Dreadnoughts were the first design to shape the supercapital era of space warfare. Meant as a planetary siege platform, everything on a Dreadnought is oversized. Fighters and other small craft were reinvented and improved as an effective counter. But it needs swarms of fighters to take down even a single one of these behemoths.
titan;       Titan;                0;   0; 50000; 80; 150; 200;  500;   50;  0 0 0 0 8 0 1 0;    0 3 5 0 0;  XXL;                ;   100000;  The largest ship of any, the titan is the only one able to carry a XXL sized weapon, usually to devastating effect. Additional eight L sized weapons are mounted for "light duty self defense purposes".

hfighter;    Heavy Fighter;       90; 110;   140;  0;  20;  65;    5;   15;  2 0 0 0 0 0 0 0;    1 0 0 0 0;  XXS;                ;      150;  Heavier version of the fighter. Provides two times the firepower for about one and a half times the cost. Not as viable for direct combat as the standard fighter though, since its armor has only been upgraded marginally.
bomber;      Bomber;              85; 100;   180;  5;  30;  70;   20;   20;  0 1 0 0 0 0 0 0;    2 0 0 0 0;   XS;                ;      200;  Bombers are meant to be fitted as anti capital ships. While able to carry potent bombs close to target while withering countless point defense barrages, the only other role bombers are suitable for are as eWar platforms.
acruiser;    Artillery Cruiser;   50;  40;  1000; 20;  60; 100;   40;   15;  0 0 0 0 0 1 0 0;    0 1 1 0 0;    M;                ;     1800;  'Offense is the best defense' was clearly on the minds of the designers of this variant of the light cruiser. Featuring a single superheavy weapon mount and not much else, this 'cruiser' is nothing but a dedicated fire support platform.  
carrier;     Carrier;              0;   0; 10000; 70; 140; 180;  200;   10;  0 0 0 0 0 0 0 0;    0 3 3 0 0;   XL; XXS: 80, XS: 20;    20000;  The ancient and seemingly obsolete concept of Carriers was dug out when more and more Dreadnoughts were seen in the skies. Nimble ships, able to run outside the firing arcs of the devastating weaponry of these beasts were needed more than ever. Carriers were the way to bring swarms of such ships to the front fast.
